primary_offense,stacked_offense,covariate_term,odds_ratio,p_value,n_cases,covariate_set,null_model
DRUG,FRAUD,C(defendant_race)[T.Black],0.5348,8.1e-05,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,CONSPIRACY,C(defendant_race)[T.Hispanic],0.111,0.000105,103562,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,CONSPIRACY,C(defendant_race)[T.Other],3.1503,0.00012,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,CONSPIRACY,C(defendant_race)[T.Hispanic],0.3883,0.00015,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,CONSPIRACY,C(defendant_race)[T.Black],0.2631,0.000217,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,LAUNDER,C(defendant_race)[T.Hispanic],0.7775,0.000236,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,CONSPIRACY,C(defendant_race)[T.Black],0.4515,0.000259,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,RACKET,C(defendant_race)[T.Black],1.9438,0.0003,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,ADMIN_JUST,C(defendant_race)[T.Hispanic],0.4604,0.000305,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,OTHER,C(defendant_race)[T.Other],1.9815,0.000424,8668,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,FIREARM,C(defendant_race)[T.Hispanic],0.8627,0.000457,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,OTHER,C(defendant_race)[T.Hispanic],0.2597,0.000527,2529,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,LAUNDER,C(defendant_race)[T.Other],1.502,0.000651,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,VIOLENT,C(defendant_race)[T.Other],4.5995,0.00125,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,VIOLENT,C(defendant_race)[T.Other],4.3475,0.001359,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,IMMIG,C(defendant_race)[T.Black],0.1304,0.001582,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,RACKET,C(defendant_race)[T.Hispanic],5.2432,0.00205,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,DRUG_POSS,C(defendant_race)[T.Black],0.3988,0.003652,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,OTHER,C(defendant_race)[T.Black],0.5798,0.003844,4597,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,CONSPIRACY,C(defendant_race)[T.Hispanic],0.3255,0.004266,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,CONSPIRACY,C(defendant_race)[T.Other],1.7214,0.005204,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,ADMIN_JUST,C(defendant_race)[T.Hispanic],0.57,0.007258,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,CONSPIRACY,C(defendant_race)[T.Hispanic],1.4983,0.008628,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,OTHER,C(defendant_race)[T.Other],0.4652,0.008945,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,OTHER,C(defendant_race)[T.Other],1.3618,0.009561,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,OTHER,C(defendant_race)[T.Other],1.7113,0.009683,4597,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,LAUNDER,C(defendant_race)[T.Hispanic],0.7142,0.010059,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
TAX,CONSPIRACY,C(defendant_race)[T.Other],25.063,0.01219,2352,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,VIOLENT,C(defendant_race)[T.Hispanic],0.4474,0.013957,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,IMMIG,C(defendant_race)[T.Hispanic],2.2071,0.01399,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,CONSPIRACY,C(defendant_race)[T.Hispanic],3.8926,0.018698,8668,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,OTHER,C(defendant_race)[T.Black],0.8349,0.019971,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
CONSPIRACY,OTHER,C(defendant_race)[T.Black],0.8379,0.025599,10454,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,CONSPIRACY,C(defendant_race)[T.Hispanic],2.1806,0.029694,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,RACKET,C(defendant_race)[T.Black],2.4264,0.042226,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,RACKET,C(defendant_race)[T.Hispanic],1.487,0.046984,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,LAUNDER,C(defendant_race)[T.Other],0.7238,0.049522,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,ADMIN_JUST,C(defendant_race)[T.Black],0.765,0.052965,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,CONSPIRACY,C(defendant_race)[T.Hispanic],0.2287,0.056506,4597,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,CONSPIRACY,C(defendant_race)[T.Black],1.8039,0.056973,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,FRAUD,C(defendant_race)[T.Black],1.8346,0.067388,103562,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,RACKET,C(defendant_race)[T.Other],4.1248,0.067689,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,OTHER,C(defendant_race)[T.Black],2.5264,0.068618,103562,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,ADMIN_JUST,C(defendant_race)[T.Black],0.54,0.074143,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,FRAUD,C(defendant_race)[T.Black],0.5967,0.075655,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,TAX,C(defendant_race)[T.Black],0.2995,0.078196,2529,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,OTHER,C(defendant_race)[T.Hispanic],1.9486,0.085829,103562,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,OTHER,C(defendant_race)[T.Hispanic],0.7391,0.085901,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,TAX,C(defendant_race)[T.Other],0.7278,0.087072,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,VIOLENT,C(defendant_race)[T.Black],1.9869,0.089151,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,CONSPIRACY,C(defendant_race)[T.Other],0.2738,0.100613,8668,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,FIREARM,C(defendant_race)[T.Other],1.1573,0.105928,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,CONSPIRACY,C(defendant_race)[T.Other],3.9737,0.120493,4597,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,CONSPIRACY,C(defendant_race)[T.Black],1.2082,0.123332,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,LAUNDER,C(defendant_race)[T.Black],0.9058,0.132536,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
SEX,OTHER,C(defendant_race)[T.Black],1.2734,0.136602,12991,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,LAUNDER,C(defendant_race)[T.Black],0.3386,0.136762,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,VIOLENT,C(defendant_race)[T.Hispanic],0.4865,0.142128,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,CONSPIRACY,C(defendant_race)[T.Black],2.0875,0.143002,8668,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,CONSPIRACY,C(defendant_race)[T.Black],0.2883,0.145838,103562,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,ADMIN_JUST,C(defendant_race)[T.Black],0.2795,0.147004,2529,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,TAX,C(defendant_race)[T.Other],0.2214,0.163419,2529,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
TAX,OTHER,C(defendant_race)[T.Other],2.056,0.167425,2352,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,CONSPIRACY,C(defendant_race)[T.Hispanic],0.4546,0.174613,2529,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,VIOLENT,C(defendant_race)[T.Black],1.5339,0.175268,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
TAX,OTHER,C(defendant_race)[T.Black],0.5882,0.176293,2352,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,DRUG_POSS,C(defendant_race)[T.Hispanic],0.5972,0.186863,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,OTHER,C(defendant_race)[T.Hispanic],1.1303,0.196963,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,FRAUD,C(defendant_race)[T.Hispanic],0.6929,0.20213,103562,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,LAUNDER,C(defendant_race)[T.Black],0.8939,0.213256,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,VIOLENT,C(defendant_race)[T.Black],0.7563,0.228801,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,ADMIN_JUST,C(defendant_race)[T.Hispanic],0.4374,0.231783,8668,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,RACKET,C(defendant_race)[T.Other],0.2949,0.242526,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,ADMIN_JUST,C(defendant_race)[T.Black],0.8143,0.283469,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,VIOLENT,C(defendant_race)[T.Other],0.4215,0.287989,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
TAX,CONSPIRACY,C(defendant_race)[T.Black],0.1408,0.299467,2352,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,FRAUD,C(defendant_race)[T.Hispanic],0.6802,0.300575,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,OTHER,C(defendant_race)[T.Black],0.5795,0.302196,2529,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,OTHER,C(defendant_race)[T.Black],0.8074,0.328192,8668,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
