offense_a,offense_b,adjusted_cooccurrence_weight,odds_ratio,observed_joint_rate,expected_joint_rate,n_joint_cases,n_cases,p_value,covariate_set,null_model,passes_effect_size_filter
LAUNDER,TAX,0.14795,1.1595,0.00053,0.00046,182,341664,0.046,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
TAX,CONSPIRACY,0.11992,1.1274,0.00097,0.00086,331,341664,0.029212,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
FRAUD,TAX,0.11273,1.1193,0.00236,0.00211,806,341664,0.00139,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
RACKET,VIOLENT,-0.00856,0.9915,0.00096,0.00097,327,341664,0.876982,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
LAUNDER,OTHER,-0.01054,0.9895,0.00191,0.00193,653,341664,0.787848,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
RACKET,ADMIN_JUST,-0.06211,0.9398,0.0003,0.00032,103,341664,0.528522,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
ADMIN_JUST,TAX,-0.10427,0.901,0.0002,0.00023,70,341664,0.383061,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
FIREARM,VIOLENT,-0.13999,0.8694,0.00436,0.00501,1490,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
VIOLENT,CONSPIRACY,-0.15826,0.8536,0.00088,0.00104,302,341664,0.005978,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
DRUG,LAUNDER,-0.22579,0.7979,0.00736,0.00921,2515,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
SEX,OTHER,-0.26598,0.7665,0.00234,0.00305,800,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
FRAUD,ADMIN_JUST,-0.45334,0.6355,0.00159,0.0025,544,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG_POSS,FIREARM,-0.50968,0.6007,0.00035,0.00058,119,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,FIREARM,-0.5489,0.5776,0.02791,0.04736,9536,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
VIOLENT,ADMIN_JUST,-0.59442,0.5519,0.00029,0.00053,100,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
TAX,OTHER,-0.59713,0.5504,0.00086,0.00156,293,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,CONSPIRACY,-0.60219,0.5476,0.00226,0.00412,773,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,OTHER,-0.70511,0.4941,0.00653,0.01313,2231,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
LAUNDER,RACKET,-0.73204,0.4809,0.00048,0.001,165,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,OTHER,-0.75572,0.4697,0.0043,0.0091,1468,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
RACKET,CONSPIRACY,-0.75953,0.4679,0.00059,0.00126,201,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
SEX,ADMIN_JUST,-0.79038,0.4537,0.00013,0.00028,43,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,RACKET,-1.2661,0.2819,0.00352,0.01238,1203,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,LAUNDER,-1.28565,0.2765,0.00071,0.00258,244,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,DRUG_POSS,-1.28567,0.2765,0.00031,0.00112,106,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,ADMIN_JUST,-1.34259,0.2612,0.00073,0.00281,251,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,ADMIN_JUST,-1.35501,0.2579,0.00085,0.00327,289,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,RACKET,-1.50879,0.2212,0.00056,0.00254,192,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,OTHER,-1.62111,0.1977,0.00391,0.01947,1336,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,OTHER,-1.86639,0.1547,0.00279,0.01778,954,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
SEX,CONSPIRACY,-1.91275,0.1477,0.00024,0.00164,83,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,CONSPIRACY,-1.93543,0.1444,0.00079,0.00543,269,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,SEX,-1.97616,0.1386,0.00027,0.00192,91,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,CONSPIRACY,-2.2249,0.1081,0.00104,0.00951,354,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,ADMIN_JUST,-2.44943,0.0863,0.0005,0.00577,171,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,FRAUD,-2.49391,0.0826,0.00156,0.0186,534,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,FRAUD,-2.51754,0.0807,0.00094,0.01156,322,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,LAUNDER,-2.54311,0.0786,0.00015,0.0019,51,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
RACKET,SEX,-2.8351,0.0587,0.00012,0.00199,40,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,FRAUD,-2.87343,0.0565,0.00133,0.02311,456,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,IMMIG,-2.90548,0.0547,0.00229,0.04023,782,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,SEX,-3.15194,0.0428,0.00025,0.00592,87,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG_POSS,OTHER,-3.15769,0.0425,8e-05,0.00186,27,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,VIOLENT,-3.25096,0.0387,0.00037,0.00958,128,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,IMMIG,-3.27068,0.038,0.00076,0.01966,260,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,VIOLENT,-3.35399,0.0349,0.0002,0.00575,69,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,VIOLENT,-3.35742,0.0348,9e-05,0.0026,31,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,SEX,-5.50987,0.004,0.0001,0.024,34,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
