offense_a,offense_b,adjusted_cooccurrence_weight,odds_ratio,observed_joint_rate,expected_joint_rate,n_joint_cases,n_cases,p_value,covariate_set,null_model,passes_effect_size_filter
RACKET,ADMIN_JUST,0.0959,1.1007,0.00031,0.00028,243,790735,0.134985,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
LAUNDER,OTHER,-0.08168,0.9216,0.00172,0.00186,1358,790735,0.002633,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
ADMIN_JUST,TAX,-0.10578,0.8996,0.00017,0.00019,138,790735,0.214055,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
VIOLENT,CONSPIRACY,-0.17502,0.8394,0.00081,0.00097,642,790735,9e-06,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
SEX,OTHER,-0.1912,0.826,0.0026,0.00314,2053,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
FIREARM,VIOLENT,-0.23984,0.7868,0.0047,0.00596,3714,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
DRUG,LAUNDER,-0.24671,0.7814,0.0065,0.00831,5143,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
VIOLENT,ADMIN_JUST,-0.29943,0.7412,0.00039,0.00053,311,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
DRUG,FIREARM,-0.46363,0.629,0.03613,0.05624,28567,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,ADMIN_JUST,-0.49429,0.61,0.00131,0.00214,1032,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,CONSPIRACY,-0.5528,0.5753,0.00257,0.00446,2031,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
SEX,ADMIN_JUST,-0.56194,0.5701,0.00014,0.00024,110,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG_POSS,FIREARM,-0.57004,0.5655,0.00035,0.00061,273,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,OTHER,-0.57547,0.5624,0.00591,0.01047,4677,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
RACKET,CONSPIRACY,-0.60733,0.5448,0.00058,0.00107,460,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
TAX,OTHER,-0.72388,0.4849,0.00065,0.00134,513,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,OTHER,-0.76638,0.4647,0.00509,0.01089,4024,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,DRUG_POSS,-0.80673,0.4463,0.00027,0.00059,210,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
LAUNDER,RACKET,-0.96249,0.3819,0.00036,0.00093,281,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,ADMIN_JUST,-1.24085,0.2891,0.00091,0.00315,722,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,LAUNDER,-1.28881,0.2756,0.00078,0.00284,620,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,RACKET,-1.35581,0.2577,0.00307,0.01179,2424,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,ADMIN_JUST,-1.46399,0.2313,0.00082,0.00354,650,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,RACKET,-1.49013,0.2253,0.00048,0.00213,380,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,OTHER,-1.55714,0.2107,0.00397,0.01856,3138,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,CONSPIRACY,-1.68854,0.1848,0.00102,0.00548,805,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
RACKET,TAX,-1.7655,0.1711,5e-05,0.00027,37,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,SEX,-1.88446,0.1519,0.00025,0.00166,200,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,OTHER,-2.10359,0.122,0.0023,0.01853,1817,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,CONSPIRACY,-2.12985,0.1189,0.00093,0.00776,734,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
SEX,CONSPIRACY,-2.13019,0.1188,0.00016,0.00137,129,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,LAUNDER,-2.14785,0.1167,0.00021,0.00182,168,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,FRAUD,-2.41626,0.0893,0.0011,0.01218,869,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,ADMIN_JUST,-2.54118,0.0788,0.00056,0.00703,441,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
VIOLENT,SEX,-2.56417,0.077,0.00014,0.00182,111,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,FRAUD,-2.57379,0.0762,0.00121,0.01569,960,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG_POSS,OTHER,-2.65117,0.0706,8e-05,0.00109,61,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,FRAUD,-2.69549,0.0675,0.0013,0.01886,1025,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,IMMIG,-2.84274,0.0583,0.00196,0.03263,1551,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
RACKET,SEX,-2.8796,0.0562,0.00011,0.002,89,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,VIOLENT,-2.9291,0.0534,0.00012,0.00229,97,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,SEX,-3.09268,0.0454,0.00031,0.00678,245,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
IMMIG,VIOLENT,-3.13269,0.0436,0.00025,0.00571,198,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,IMMIG,-3.14133,0.0432,0.001,0.02256,788,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
DRUG,VIOLENT,-3.16507,0.0422,0.00039,0.00921,310,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
