primary_offense,stacked_offense,covariate_term,odds_ratio,p_value,n_cases,covariate_set,null_model
ADMIN_JUST,OTHER,C(defendant_race)[T.Black],0.5374,0.0,11596,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,OTHER,C(defendant_race)[T.Black],0.3493,0.0,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,OTHER,C(defendant_race)[T.Hispanic],0.3644,0.0,16256,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,OTHER,C(defendant_race)[T.Black],0.4479,0.0,16256,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,VIOLENT,C(defendant_race)[T.Other],6.0578,0.0,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,RACKET,C(defendant_race)[T.Black],2.6157,0.0,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,FIREARM,C(defendant_race)[T.Black],1.3742,0.0,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,LAUNDER,C(defendant_race)[T.Other],1.7085,0.0,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,OTHER,C(defendant_race)[T.Hispanic],0.287,1e-06,5905,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,CONSPIRACY,C(defendant_race)[T.Hispanic],0.2112,2e-06,253367,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,OTHER,C(defendant_race)[T.Other],0.4566,3e-06,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,CONSPIRACY,C(defendant_race)[T.Black],0.3751,5e-06,16256,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,CONSPIRACY,C(defendant_race)[T.Hispanic],0.3415,7e-06,16256,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
SEX,CONSPIRACY,C(defendant_race)[T.Black],11.2556,1.3e-05,30571,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,OTHER,C(defendant_race)[T.Other],1.8417,1.5e-05,11596,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,CONSPIRACY,C(defendant_race)[T.Hispanic],2.3546,1.7e-05,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,IMMIG,C(defendant_race)[T.Hispanic],2.5106,2.4e-05,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,RACKET,C(defendant_race)[T.Black],1.7112,3.8e-05,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,OTHER,C(defendant_race)[T.Black],0.8169,6.1e-05,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,LAUNDER,C(defendant_race)[T.Hispanic],0.7166,6.9e-05,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,ADMIN_JUST,C(defendant_race)[T.Black],0.4195,9.4e-05,16256,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
SEX,OTHER,C(defendant_race)[T.Black],1.4664,0.000108,30571,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,OTHER,C(defendant_race)[T.Black],0.6449,0.000126,19731,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,RACKET,C(defendant_race)[T.Hispanic],1.694,0.000184,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,CONSPIRACY,C(defendant_race)[T.Other],2.3914,0.000241,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,CONSPIRACY,C(defendant_race)[T.Hispanic],0.5515,0.000371,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,ADMIN_JUST,C(defendant_race)[T.Hispanic],0.6154,0.000547,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,SEX,C(defendant_race)[T.Hispanic],0.2072,0.000827,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,CONSPIRACY,C(defendant_race)[T.Hispanic],0.3396,0.000877,5905,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,FRAUD,C(defendant_race)[T.Hispanic],0.5164,0.001129,253367,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,IMMIG,C(defendant_race)[T.Hispanic],4.3553,0.001208,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
SEX,ADMIN_JUST,C(defendant_race)[T.Other],3.5504,0.001844,30571,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,LAUNDER,C(defendant_race)[T.Hispanic],0.8621,0.001968,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,TAX,C(defendant_race)[T.Hispanic],0.041,0.002191,5905,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,CONSPIRACY,C(defendant_race)[T.Hispanic],1.3675,0.002321,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,CONSPIRACY,C(defendant_race)[T.Hispanic],3.0866,0.002781,19731,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,ADMIN_JUST,C(defendant_race)[T.Black],0.7593,0.005204,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
TAX,OTHER,C(defendant_race)[T.Black],0.4374,0.006215,4740,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,LAUNDER,C(defendant_race)[T.Other],4.9155,0.006943,253367,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,SEX,C(defendant_race)[T.Black],0.0539,0.007663,19731,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,TAX,C(defendant_race)[T.Other],0.7178,0.009215,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,SEX,C(defendant_race)[T.Black],0.439,0.009658,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,DRUG_POSS,C(defendant_race)[T.Black],0.5566,0.010002,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,CONSPIRACY,C(defendant_race)[T.Black],2.268,0.010924,19731,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,TAX,C(defendant_race)[T.Black],0.1803,0.013837,11596,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,FRAUD,C(defendant_race)[T.Hispanic],0.5784,0.014449,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,OTHER,C(defendant_race)[T.Hispanic],0.7208,0.014864,19731,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
VIOLENT,CONSPIRACY,C(defendant_race)[T.Other],0.2923,0.01581,19731,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,ADMIN_JUST,C(defendant_race)[T.Other],0.636,0.017131,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,CONSPIRACY,C(defendant_race)[T.Black],0.7009,0.017141,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,CONSPIRACY,C(defendant_race)[T.Other],1.3544,0.020972,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,IMMIG,C(defendant_race)[T.Other],0.0969,0.023346,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,DRUG_POSS,C(defendant_race)[T.Hispanic],0.4859,0.024274,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,FIREARM,C(defendant_race)[T.Other],1.1224,0.025137,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
SEX,CONSPIRACY,C(defendant_race)[T.Other],5.7425,0.027765,30571,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,SEX,C(defendant_race)[T.Black],0.4355,0.02969,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
SEX,ADMIN_JUST,C(defendant_race)[T.Black],2.101,0.030197,30571,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,OTHER,C(defendant_race)[T.Other],0.6245,0.030382,16256,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,VIOLENT,C(defendant_race)[T.Hispanic],0.6436,0.032446,16256,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,TAX,C(defendant_race)[T.Black],0.4234,0.035465,5905,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,CONSPIRACY,C(defendant_race)[T.Black],0.4378,0.035583,5905,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,IMMIG,C(defendant_race)[T.Black],0.5402,0.03652,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,CONSPIRACY,C(defendant_race)[T.Black],0.3139,0.041371,253367,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,FRAUD,C(defendant_race)[T.Other],0.488,0.042921,253367,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,CONSPIRACY,C(defendant_race)[T.Black],1.3962,0.055313,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,TAX,C(defendant_race)[T.Hispanic],0.1108,0.056822,11596,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
ADMIN_JUST,CONSPIRACY,C(defendant_race)[T.Hispanic],0.3951,0.064857,11596,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
LAUNDER,RACKET,C(defendant_race)[T.Black],0.2059,0.069096,5905,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,ADMIN_JUST,C(defendant_race)[T.Hispanic],0.7782,0.071486,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
SEX,CONSPIRACY,C(defendant_race)[T.Hispanic],3.1434,0.076614,30571,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,VIOLENT,C(defendant_race)[T.Black],1.3503,0.081493,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,SEX,C(defendant_race)[T.Other],0.1014,0.082513,228388,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,SEX,C(defendant_race)[T.Hispanic],0.3988,0.090375,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,RACKET,C(defendant_race)[T.Hispanic],1.4941,0.095873,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,CONSPIRACY,C(defendant_race)[T.Other],1.8484,0.09631,253367,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,RACKET,C(defendant_race)[T.Other],0.184,0.097569,55733,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,LAUNDER,C(defendant_race)[T.Black],0.533,0.109704,84913,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,LAUNDER,C(defendant_race)[T.Hispanic],0.4747,0.111155,253367,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
